,document,title
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/apr/10/donald-trump-border-wall-proposals-architecture-criticism,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Fapr%2F10%2Fdonald-trump-border-wall-proposals-architecture-criticism,"Watchtowers, drones and a toxic moat: the designs for Trump's border wall"
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/feb/10/joan-eardley-the-forgotten-artist-who-captured-scotlands-life-and-soul,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Ffeb%2F10%2Fjoan-eardley-the-forgotten-artist-who-captured-scotlands-life-and-soul,Joan Eardley: the forgotten artist who captured Scotland's life and soul
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/feb/10/klimt-painting-expected-to-fetch-well-over-45m-at-sothebys-auction,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Ffeb%2F10%2Fklimt-painting-expected-to-fetch-well-over-45m-at-sothebys-auction,Klimt painting expected to fetch well over £45m at Sotheby's auction
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/feb/10/uk-places-temporary-export-bar-on-parmigianino-painting,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Ffeb%2F10%2Fuk-places-temporary-export-bar-on-parmigianino-painting,UK places temporary export bar on Parmigianino painting
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/feb/16/rare-old-master-drawings-national-portrait-gallery-rembrandt-leonardo-durer-holbein-rubens,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Ffeb%2F16%2Frare-old-master-drawings-national-portrait-gallery-rembrandt-leonardo-durer-holbein-rubens,Rare old master drawings to be shown at National Portrait Gallery
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/feb/16/reform-uk-art-export-rules-pontormo-portrait-young-man-red-cap-bid-rejected,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Ffeb%2F16%2Freform-uk-art-export-rules-pontormo-portrait-young-man-red-cap-bid-rejected,Call to reform UK art export rules after £30m Pontormo bid rejected
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/mar/01/picasso-and-klimt-top-the-bill-as-auction-houses-hope-good-times-of-2015-return,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Fmar%2F01%2Fpicasso-and-klimt-top-the-bill-as-auction-houses-hope-good-times-of-2015-return,Picasso and Klimt top the bill as auction houses hope good times of 2015 return
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/mar/01/sex-symbols-what-does-a-blue-hankie-in-your-left-back-pocket-mean,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Fmar%2F01%2Fsex-symbols-what-does-a-blue-hankie-in-your-left-back-pocket-mean,Sex symbols: what does a blue hankie in your left back pocket mean?
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/mar/16/danish-superflex-tate-modern-turbine-hall-london,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Fmar%2F16%2Fdanish-superflex-tate-modern-turbine-hall-london,Danish artists Superflex next for Tate Modern Turbine Hall
/v1/related/controcuratorguardian?q=https://www.theguardian.com/artanddesign/2017/mar/16/in-these-troubled-times-we-need-to-see-the-mastry-exhibition-in-the-uk,/v1/related/controcuratorguardian?q=https%3A%2F%2Fwww.theguardian.com%2Fartanddesign%2F2017%2Fmar%2F16%2Fin-these-troubled-times-we-need-to-see-the-mastry-exhibition-in-the-uk,"In these troubled times, we need to see the Mastry exhibition in the UK | Letter"
